x_m,intensity_norm,target
-0.00256,1.49381118704366e-13,0
-0.0025575,1.18464628969696e-13,0
-0.002555,5.92709700682482e-14,0
-0.0025525,3.85658898089021e-14,0
-0.00255,8.81871579236008e-14,0
-0.0025475,1.70556134169869e-13,0
-0.002545,2.13435818041127e-13,0
-0.0025425,1.81587288379711e-13,0
-0.00254,1.15355496131697e-13,0
-0.0025375,9.62012552187679e-14,0
-0.002535,1.69058599248388e-13,0
-0.0025325,2.94525923410149e-13,0
-0.00253,3.78382003082467e-13,0
-0.0025275,3.54695620457702e-13,0
-0.002525,2.4816664405644e-13,0
-0.0025225,1.58526300360828e-13,0
-0.00252,1.7901724662698e-13,0
-0.0025175,3.18850391320289e-13,0
-0.002515,4.9457509230543e-13,0
-0.0025125,5.94396117717664e-13,0
-0.00251,5.59056555905609e-13,0
-0.0025075,4.15214990725979e-13,0
-0.002505,2.43684758970368e-13,0
-0.0025025,1.19130631086863e-13,0
-0.0025,7.21789335058026e-14,0
-0.0024975,9.37021650178772e-14,0
-0.002495,1.60532999675474e-13,0
-0.0024925,2.50898830090991e-13,0
-0.00249,3.40586287301892e-13,0
-0.0024875,3.97328322423601e-13,0
-0.002485,3.91652880124796e-13,0
-0.0024825,3.19114287859355e-13,0
-0.00248,2.10093995556825e-13,0
-0.0024775,1.12096204133255e-13,0
-0.002475,5.73839619842054e-14,0
-0.0024725,4.53845013489525e-14,0
-0.00247,5.52384433424715e-14,0
-0.0024675,7.29450984552366e-14,0
-0.002465,1.02854981106522e-13,0
-0.0024625,1.51661119463155e-13,0
-0.00246,2.05671402427506e-13,0
-0.0024575,2.32902757872333e-13,0
-0.002455,2.15776262924568e-13,0
-0.0024525,1.82893139887234e-13,0
-0.00245,2.00562456575759e-13,0
-0.0024475,3.20189091695727e-13,0
-0.002445,5.24578815216842e-13,0
-0.0024425,7.26104188275364e-13,0
-0.00244,8.26682661912879e-13,0
-0.0024375,7.90927537708036e-13,0
-0.002435,6.67131851232627e-13,0
-0.0024325,5.36665274808002e-13,0
-0.00243,4.40286133739022e-13,0
-0.0024275,3.53578586707265e-13,0
-0.002425,2.36221560441267e-13,0
-0.0024225,1.03880363577957e-13,0
-0.00242,4.24128506916992e-14,0
-0.0024175,1.36229107250526e-13,0
-0.002415,3.71176740625791e-13,0
-0.0024125,6.10749753842111e-13,0
-0.00241,6.87255536412286e-13,0
-0.0024075,5.41795493832224e-13,0
-0.002405,2.88648949485141e-13,0
-0.0024025,1.33677294383872e-13,0
-0.0024,2.0371589007277e-13,0
-0.0023975,4.31902379433669e-13,0
-0.002395,6.06621561719296e-13,0
-0.0023925,5.52896198502937e-13,0
-0.00239,2.93763466927188e-13,0
-0.0023875,4.65673565111868e-14,0
-0.002385,4.63656443194321e-14,0
-0.0023825,3.40433370177926e-13,0
-0.00238,7.30735278337728e-13,0
-0.0023775,9.21873661760578e-13,0
-0.002375,7.59247887766032e-13,0
-0.0023725,3.63047120790092e-13,0
-0.00237,4.6396717251241e-14,0
-0.0023675,8.11011940599637e-14,0
-0.002365,4.95584991141376e-13,0
-0.0023625,1.05887013500615e-12,0
-0.00236,1.45286113081125e-12,0
-0.0023575,1.49134700471875e-12,0
-0.002355,1.22194990753993e-12,0
-0.0023525,8.5338564287453e-13,0
-0.00235,5.87712247704139e-13,0
-0.0023475,4.94312873181185e-13,0
-0.002345,5.06026525807523e-13,0
-0.0023425,5.10500556497625e-13,0
-0.00234,4.45107339762497e-13,0
-0.0023375,3.24658110046465e-13,0
-0.002335,2.02635866431682e-13,0
-0.0023325,1.18737262938241e-13,0
-0.00233,7.92841624228106e-14,0
-0.0023275,7.26635067466703e-14,0
-0.002325,8.91589429631519e-14,0
-0.0023225,1.21505007340479e-13,0
-0.00232,1.53069103492105e-13,0
-0.0023175,1.5743218159871e-13,0
-0.002315,1.18564905238442e-13,0
-0.0023125,5.30641225709269e-14,0
-0.00231,7.45771495545444e-15,0
-0.0023075,2.58005712270983e-14,0
-0.002305,1.13929204346175e-13,0
-0.0023025,2.34273114150049e-13,0
-0.0023,3.39041051809021e-13,0
-0.0022975,4.13318143298496e-13,0
-0.002295,4.87825595013971e-13,0
-0.0022925,6.0652007331068e-13,0
-0.00229,7.75072515602087e-13,0
