y_m,intensity_norm,target
-0.00256,1.71786322636805e-13,0
-0.0025575,1.44425541072053e-13,0
-0.002555,8.05291338337779e-14,0
-0.0025525,2.11287918874705e-14,0
-0.00255,5.9432789283294e-16,0
-0.0025475,2.47710831423406e-14,0
-0.002545,7.27319582841284e-14,0
-0.0025425,1.17518003095225e-13,0
-0.00254,1.46105999055638e-13,0
-0.0025375,1.62063576457059e-13,0
-0.002535,1.71981124063224e-13,0
-0.0025325,1.72063773757141e-13,0
-0.00253,1.50181216839111e-13,0
-0.0025275,1.02560281804174e-13,0
-0.002525,4.84333422249878e-14,0
-0.0025225,2.54655853083213e-14,0
-0.00252,6.49254035426138e-14,0
-0.0025175,1.64483290720688e-13,0
-0.002515,2.81449833658044e-13,0
-0.0025125,3.5511269691762e-13,0
-0.00251,3.44590450642897e-13,0
-0.0025075,2.56051237822119e-13,0
-0.002505,1.40156851177472e-13,0
-0.0025025,6.15758853535759e-14,0
-0.0025,6.132803363213e-14,0
-0.0024975,1.36039660876838e-13,0
-0.002495,2.44869427999044e-13,0
-0.0024925,3.35984810740299e-13,0
-0.00249,3.73817719890508e-13,0
-0.0024875,3.51974814249578e-13,0
-0.002485,2.89493287613567e-13,0
-0.0024825,2.19036864214162e-13,0
-0.00248,1.76780061185005e-13,0
-0.0024775,1.96356981201907e-13,0
-0.002475,3.01853322377694e-13,0
-0.0024725,4.95442709197017e-13,0
-0.00247,7.44090970543756e-13,0
-0.0024675,9.7821950152828e-13,0
-0.002465,1.11307529911314e-12,0
-0.0024625,1.08861216599507e-12,0
-0.00246,9.05946428136631e-13,0
-0.0024575,6.33665851517023e-13,0
-0.002455,3.73618996610253e-13,0
-0.0024525,2.04476478267859e-13,0
-0.00245,1.40612393409447e-13,0
-0.0024475,1.35833355667419e-13,0
-0.002445,1.28811285637619e-13,0
-0.0024425,9.41142269791737e-14,0
-0.00244,5.74183197326219e-14,0
-0.0024375,6.30530999117725e-14,0
-0.002435,1.23774561728639e-13,0
-0.0024325,2.00510034354522e-13,0
-0.00243,2.35283188873008e-13,0
-0.0024275,2.11614097063371e-13,0
-0.002425,1.85892886000506e-13,0
-0.0024225,2.51633311009809e-13,0
-0.00242,4.55932530597846e-13,0
-0.0024175,7.36576643271867e-13,0
-0.002415,9.42933283547719e-13,0
-0.0024125,9.40813329507083e-13,0
-0.00241,7.28344041200498e-13,0
-0.0024075,4.68550734577021e-13,0
-0.002405,3.98937460877261e-13,0
-0.0024025,6.71247921213577e-13,0
-0.0024,1.23349450754741e-12,0
-0.0023975,1.84231902492827e-12,0
-0.002395,2.20223444301591e-12,0
-0.0023925,2.1382457243626e-12,0
-0.00239,1.68755258982145e-12,0
-0.0023875,1.05765017180064e-12,0
-0.002385,4.92169271766993e-13,0
-0.0023825,1.41214721138546e-13,0
-0.00238,1.41020512843171e-14,0
-0.0023775,2.31559281998359e-14,0
-0.002375,6.59498991761129e-14,0
-0.0023725,8.30798386341803e-14,0
-0.00237,6.56622882643512e-14,0
-0.0023675,3.15199663280416e-14,0
-0.002365,4.13289379221509e-15,0
-0.0023625,9.44027972047264e-15,0
-0.00236,7.85882024105144e-14,0
-0.0023575,2.37893148512249e-13,0
-0.002355,4.84774182537148e-13,0
-0.0023525,7.6965394241413e-13,0
-0.00235,1.0058213414204e-12,0
-0.0023475,1.10870747079186e-12,0
-0.002345,1.04131098436106e-12,0
-0.0023425,8.35517341407492e-13,0
-0.00234,5.75482851307473e-13,0
-0.0023375,3.54988326155618e-13,0
-0.002335,2.35600310726761e-13,0
-0.0023325,2.27511101465591e-13,0
-0.00233,2.97270117453915e-13,0
-0.0023275,3.9102398457506e-13,0
-0.002325,4.57883637561769e-13,0
-0.0023225,4.64409642216131e-13,0
-0.00232,4.00112581582913e-13,0
-0.0023175,2.7846560193536e-13,0
-0.002315,1.36538941616577e-13,0
-0.0023125,3.17180413313697e-14,0
-0.00231,3.05133009798437e-14,0
-0.0023075,1.86110973891339e-13,0
-0.002305,5.09170974459838e-13,0
-0.0023025,9.46492850040215e-13,0
-0.0023,1.3858488535024e-12,0
-0.0022975,1.6949104261386e-12,0
-0.002295,1.77997848766408e-12,0
-0.0022925,1.63117507956367e-12,0
-0.00229,1.32315030182528e-12,0
-0.0022875,9.68561370029631e-13,0
-0.002285,6.56879164018785e-13,0
-0.0022825,4.23328908698942e-13,0
-0.00228,2.67107409373464e-13,0
-0.0022775,1.93060125938197e-13,0
-0.002275,2.2754164995672e-13,0
-0.0022725,3.83880405685877e-13,0
-0.00227,6.08476221634333e-13,0
-0.0022675,7.72560716386486e-13,0
-0.002265,7.45620914947641e-13,0
-0.0022625,5.08911397931203e-13,0
-0.00226,2.09373135363051e-13,0
-0.0022575,8.04396836362229e-14,0
-0.002255,2.62855771628697e-13,0
-0.0022525,6.62174875656293e-13,0
-0.00225,9.80746025608459e-13,0
-0.0022475,9.37005327049529e-13,0
-0.002245,5.21932122640128e-13,0
-0.0022425,8.01900039401938e-14,0
-0.00224,1.13520457207837e-13,0
-0.0022375,9.1780268708006e-13,0
-0.002235,2.31582152895561e-12,0
-0.0022325,3.70287093937352e-12,0
-0.00223,4.40036620379503e-12,0
-0.0022275,4.07947805684512e-12,0
-0.002225,2.95687521510583e-12,0
-0.0022225,1.62988541114535e-12,0
-0.00222,6.81915582467429e-13,0
-0.0022175,3.46055658516842e-13,0
-0.002215,4.48599194924723e-13,0
-0.0022125,6.28277374359902e-13,0
-0.00221,6.27676187569157e-13,0
-0.0022075,4.3314890780816e-13,0
-0.002205,1.95327293143833e-13,0
-0.0022025,4.85525577228504e-14,0
-0.0022,7.70464675971039e-15,0
-0.0021975,1.95485315798776e-14,0
-0.002195,8.87158256319103e-14,0
-0.0021925,3.30843692862657e-13,0
-0.00219,8.82239306579584e-13,0
-0.0021875,1.73922467047805e-12,0
-0.002185,2.67704955031537e-12,0
-0.0021825,3.33879254987765e-12,0
-0.00218,3.44266262688971e-12,0
-0.0021775,2.95565609786418e-12,0
-0.002175,2.10654592916952e-12,0
-0.0021725,1.23607647483358e-12,0
-0.00217,6.00600323826031e-13,0
-0.0021675,2.64782438453917e-13,0
-0.002165,1.35538174983887e-13,0
-0.0021625,8.10866031043711e-14,0
-0.00216,3.22294137503093e-14,0
-0.0021575,1.66537152690891e-15,0
-0.002155,3.3904652120638e-14,0
-0.0021525,1.45584548132305e-13,0
-0.00215,3.0471418852285e-13,0
-0.0021475,4.52452846383746e-13,0
-0.002145,5.37996669021149e-13,0
-0.0021425,5.38768433208982e-13,0
-0.00214,4.60842207483381e-13,0
-0.0021375,3.30716728298281e-13,0
-0.002135,1.8705354494586e-13,0
-0.0021325,7.07132221000481e-14,0
-0.00213,9.78895799997893e-15,0
-0.0021275,5.43879027436769e-15,0
-0.002125,3.10598730604603e-14,0
-0.0021225,5.02722222747585e-14,0
-0.00212,4.27886626026035e-14,0
-0.0021175,1.79658784472974e-14,0
-0.002115,4.47103113254415e-15,0
-0.0021125,2.43840522154876e-14,0
-0.00211,7.32466984983397e-14,0
-0.0021075,1.22320995609727e-13,0
-0.002105,1.40833049695682e-13,0
-0.0021025,1.20448064310947e-13,0
-0.0021,8.35306520435226e-14,0
-0.0020975,6.93185442579526e-14,0
-0.002095,1.07156520553404e-13,0
-0.0020925,1.93882304411231e-13,0
-0.00209,2.90626650224839e-13,0
-0.0020875,3.44484817836778e-13,0
-0.002085,3.2577961142871e-13,0
-0.0020825,2.577019952151e-13,0
-0.00208,2.12394598895064e-13,0
-0.0020775,2.65224882230006e-13,0
-0.002075,4.32265767122802e-13,0
-0.0020725,6.40706713006627e-13,0
-0.00207,7.69835347705776e-13,0
-0.0020675,7.47864038846787e-13,0
-0.002065,6.33190203061528e-13,0
-0.0020625,6.01054246051616e-13,0
-0.00206,8.20466811676735e-13,0
-0.0020575,1.30140790513499e-12,0
-0.002055,1.83797161884507e-12,0
-0.0020525,2.11633244978797e-12,0
-0.00205,1.92823057299705e-12,0
-0.0020475,1.33323945866463e-12,0
-0.002045,6.36731019387847e-13,0
-0.0020425,1.89008991819814e-13,0
-0.00204,1.55408022578709e-13,0
-0.0020375,4.33282782820707e-13,0
-0.002035,7.71688967211056e-13,0
-0.0020325,9.83153896698404e-13,0
-0.00203,1.06882930114983e-12,0
-0.0020275,1.1679137643195e-12,0
-0.002025,1.40605779139141e-12,0
-0.0020225,1.80239091744338e-12,0
-0.00202,2.32050866436427e-12,0
-0.0020175,2.98756793861219e-12,0
-0.002015,3.91939134503009e-12,0
-0.0020125,5.17518198816974e-12,0
-0.00201,6.55341134968474e-12,0
-0.0020075,7.54802326597059e-12,0
-0.002005,7.5853772465833e-12,0
-0.0020025,6.41889296549451e-12,0
-0.002,4.38138769634188e-12,0
-0.0019975,2.26070899380935e-12,0
-0.001995,8.44597824280936e-13,0
-0.0019925,4.50926670508907e-13,0
-0.00199,7.86296255309509e-13,0
-0.0019875,1.22549954435739e-12,0
-0.001985,1.28023012449585e-12,0
-0.0019825,8.96470446793438e-13,0
-0.00198,3.86660908706412e-13,0
-0.0019775,1.11044006329737e-13,0
-0.001975,2.04039356019776e-13,0
-0.0019725,5.52784155882737e-13,0
-0.00197,9.79842873385127e-13,0
-0.0019675,1.40655751675594e-12,0
-0.001965,1.83372218270831e-12,0
-0.0019625,2.19596703181574e-12,0
-0.00196,2.29608013573821e-12,0
-0.0019575,1.94802187591833e-12,0
-0.001955,1.22346576052489e-12,0
-0.0019525,5.42200971849448e-13,0
-0.00195,4.45385736324044e-13,0
-0.0019475,1.17704277445681e-12,0
-0.001945,2.41446680290237e-12,0
-0.0019425,3.41485771803551e-12,0
-0.00194,3.51747833610533e-12,0
-0.0019375,2.63017039804158e-12,0
-0.001935,1.31237026316619e-12,0
-0.0019325,3.75537444697537e-13,0
-0.00193,3.05763019274293e-13,0
-0.0019275,9.51851032340869e-13,0
-0.001925,1.70120020961106e-12,0
-0.0019225,1.97440906885861e-12,0
-0.00192,1.633933998214e-12,0
-0.0019175,1.00579383942659e-12,0
-0.001915,5.48557020772229e-13,0
-0.0019125,4.78369539525572e-13,0
-0.00191,6.53458568096564e-13,0
-0.0019075,7.69377511970926e-13,0
-0.001905,6.53497051576129e-13,0
-0.0019025,3.94867179960564e-13,0
-0.0019,2.22727162938431e-13,0
-0.0018975,2.75065441490171e-13,0
-0.001895,4.75797593335714e-13,0
-0.0018925,6.17012351499594e-13,0
-0.00189,5.51458239342737e-13,0
-0.0018875,3.14930093706066e-13,0
-0.001885,8.01262848642549e-14,0
-0.0018825,7.71621046272177e-16,0
-0.00188,9.10831979390953e-14,0
-0.0018775,2.35797865788677e-13,0
-0.001875,3.02286819195677e-13,0
-0.0018725,2.46149414869188e-13,0
-0.00187,1.26539492209547e-13,0
-0.0018675,3.76993973438568e-14,0
-0.001865,2.9700884090936e-14,0
-0.0018625,8.28106705854728e-14,0
-0.00186,1.40504295360538e-13,0
-0.0018575,1.58759039591954e-13,0
-0.001855,1.30576649240376e-13,0
-0.0018525,7.85439344090306e-14,0
-0.00185,3.42897236587837e-14,0
