x_m,intensity_norm,target
-0.00256,1.49319233030272e-13,0
-0.0025575,9.05914713476261e-14,0
-0.002555,8.59580209532328e-15,0
-0.0025525,8.3112383185711e-14,0
-0.00255,3.72701992054754e-13,0
-0.0025475,7.12458962750617e-13,0
-0.002545,8.32979992165111e-13,0
-0.0025425,6.08407092076135e-13,0
-0.00254,2.08625302521315e-13,0
-0.0025375,7.51869112324601e-16,0
-0.002535,2.61485847637065e-13,0
-0.0025325,9.34166757612664e-13,0
-0.00253,1.63838992946887e-12,0
-0.0025275,1.93525049552479e-12,0
-0.002525,1.64252155310231e-12,0
-0.0025225,9.56794662553694e-13,0
-0.00252,2.99205451972973e-13,0
-0.0025175,1.79065560892959e-14,0
-0.002515,1.75891146359981e-13,0
-0.0025125,5.62380653875027e-13,0
-0.00251,8.82097051379264e-13,0
-0.0025075,9.56082165595059e-13,0
-0.002505,7.9445733618802e-13,0
-0.0025025,5.27776037574084e-13,0
-0.0025,2.89512385254335e-13,0
-0.0024975,1.48118036674035e-13,0
-0.002495,1.13477151877089e-13,0
-0.0024925,1.72877561486145e-13,0
-0.00249,3.05854440393242e-13,0
-0.0024875,4.7268435646447e-13,0
-0.002485,6.09127131757611e-13,0
-0.0024825,6.51231275732079e-13,0
-0.00248,5.75122752746396e-13,0
-0.0024775,4.14559653667147e-13,0
-0.002475,2.38026697361516e-13,0
-0.0024725,1.05443690270121e-13,0
-0.00247,4.11050453752505e-14,0
-0.0024675,3.89391114557349e-14,0
-0.002465,8.33898310298316e-14,0
-0.0024625,1.59735529175478e-13,0
-0.00246,2.48595239730641e-13,0
-0.0024575,3.23242607581803e-13,0
-0.002455,3.65480723214103e-13,0
-0.0024525,3.88835980370333e-13,0
-0.00245,4.39504255104561e-13,0
-0.0024475,5.61718637840048e-13,0
-0.002445,7.52426360442491e-13,0
-0.0024425,9.49408615187745e-13,0
-0.00244,1.07144443717251e-12,0
-0.0024375,1.0792878513038e-12,0
-0.002435,1.002006591985e-12,0
-0.0024325,9.03121736303834e-13,0
-0.00243,8.1922776268266e-13,0
-0.0024275,7.32375557686163e-13,0
-0.002425,6.04517909532328e-13,0
-0.0024225,4.37703261792608e-13,0
-0.00242,2.93098882893506e-13,0
-0.0024175,2.40724634229385e-13,0
-0.002415,2.85244041108619e-13,0
-0.0024125,3.46457537563355e-13,0
-0.00241,3.26050701055203e-13,0
-0.0024075,2.04720476698301e-13,0
-0.002405,7.30351985719052e-14,0
-0.0024025,5.39660466924887e-14,0
-0.0024,1.80815932264998e-13,0
-0.0023975,3.49183067807115e-13,0
-0.002395,4.03063534109547e-13,0
-0.0023925,2.87835034246762e-13,0
-0.00239,1.25640714275514e-13,0
-0.0023875,1.24775650894885e-13,0
-0.002385,3.8559564224048e-13,0
-0.0023825,7.75883409631424e-13,0
-0.00238,1.00731630413342e-12,0
-0.0023775,8.73336294915163e-13,0
-0.002375,4.53594986821133e-13,0
-0.0023725,9.60561160187953e-14,0
-0.00237,1.64297231945508e-13,0
-0.0023675,7.40672274754107e-13,0
-0.002365,1.5289370389417e-12,0
-0.0023625,2.04866672480951e-12,0
-0.00236,1.97923093439461e-12,0
-0.0023575,1.38842059508731e-12,0
-0.002355,6.72501807590611e-13,0
-0.0023525,2.63033116654298e-13,0
-0.00235,3.31927113038701e-13,0
-0.0023475,7.10809034648355e-13,0
-0.002345,1.05857914487286e-12,0
-0.0023425,1.12108060672172e-12,0
-0.00234,8.80618840149206e-13,0
-0.0023375,5.10191953212712e-13,0
-0.002335,2.11475310385351e-13,0
-0.0023325,8.68014816011677e-14,0
-0.00233,1.30530293864809e-13,0
-0.0023275,3.02881979081838e-13,0
-0.002325,5.86080249314584e-13,0
-0.0023225,9.65550267769121e-13,0
-0.00232,1.37177468388442e-12,0
-0.0023175,1.66491871521345e-12,0
-0.002315,1.70150921115389e-12,0
-0.0023125,1.43654488915467e-12,0
-0.00231,9.71137153207348e-13,0
-0.0023075,4.97312027928542e-13,0
-0.002305,1.79205245830317e-13,0
-0.0023025,6.33348602051576e-14,0
-0.0023,8.3316109736043e-14,0
-0.0022975,1.43434596467949e-13,0
-0.002295,2.03379520455715e-13,0
-0.0022925,2.94409225181881e-13,0
-0.00229,4.62609267086379e-13,0
-0.0022875,6.97552456330397e-13,0
-0.002285,9.12532440789666e-13,0
-0.0022825,9.94521315084558e-13,0
-0.00228,8.8306449068238e-13,0
-0.0022775,6.16013965648541e-13,0
-0.002275,3.08848114635706e-13,0
-0.0022725,8.51890265369479e-14,0
-0.00227,8.39072925793909e-15,0
-0.0022675,5.73754790781914e-14,0
-0.002265,1.55166153057514e-13,0
-0.0022625,2.23901969303546e-13,0
-0.00226,2.28053100708413e-13,0
-0.0022575,1.81732927361401e-13,0
-0.002255,1.23216900688942e-13,0
-0.0022525,8.10259312831118e-14,0
-0.00225,5.80925038360964e-14,0
-0.0022475,4.33319476612403e-14,0
-0.002245,3.62138873509872e-14,0
-0.0022425,5.80799167747382e-14,0
-0.00224,1.34970807670702e-13,0
-0.0022375,2.63742695391456e-13,0
-0.002235,3.93826222316559e-13,0
-0.0022325,4.5022929596098e-13,0
-0.00223,3.89893034433408e-13,0
-0.0022275,2.4937299317992e-13,0
-0.002225,1.39014297099944e-13,0
-0.0022225,1.76047344055083e-13,0
-0.00222,3.99633228158627e-13,0
-0.0022175,7.32019475088694e-13,0
-0.002215,1.01977162275723e-12,0
-0.0022125,1.12863207618087e-12,0
-0.00221,1.0237848644564e-12,0
-0.0022075,7.79309956873381e-13,0
-0.002205,5.16511696218865e-13,0
-0.0022025,3.23672440382517e-13,0
-0.0022,2.16694789966855e-13,0
-0.0021975,1.59317200242612e-13,0
-0.002195,1.12084482741643e-13,0
-0.0021925,6.37719759593903e-14,0
-0.00219,2.57100388470975e-14,0
-0.0021875,7.8581389447197e-15,0
-0.002185,8.17544461099159e-15,0
-0.0021825,2.55920769739768e-14,0
-0.00218,7.77158668064983e-14,0
-0.0021775,1.98734078647206e-13,0
-0.002175,4.15265809036628e-13,0
-0.0021725,7.22660359579373e-13,0
-0.00217,1.08414810326373e-12,0
-0.0021675,1.45069633202661e-12,0
-0.002165,1.77789948013802e-12,0
-0.0021625,2.0224346797366e-12,0
-0.00216,2.12874036631026e-12,0
-0.0021575,2.03495917130257e-12,0
-0.002155,1.71178402879635e-12,0
-0.0021525,1.21002680915566e-12,0
-0.00215,6.70909739677316e-13,0
-0.0021475,2.74378837648306e-13,0
-0.002145,1.50949136171718e-13,0
-0.0021425,3.16597461615214e-13,0
-0.00214,6.74898812625024e-13,0
-0.0021375,1.07826242681722e-12,0
-0.002135,1.39803438672771e-12,0
-0.0021325,1.55813319543785e-12,0
-0.00213,1.52932237534361e-12,0
-0.0021275,1.31602415119501e-12,0
-0.002125,9.60522009050588e-13,0
-0.0021225,5.52616781324682e-13,0
-0.00212,2.11611717853973e-13,0
-0.0021175,3.10133435764198e-14,0
-0.002115,2.30987681163975e-14,0
-0.0021125,1.17557877661424e-13,0
-0.00211,2.27545485930496e-13,0
-0.0021075,3.30040918366005e-13,0
-0.002105,4.825725720628e-13,0
-0.0021025,7.4989468222491e-13,0
-0.0021,1.10226974888123e-12,0
-0.0020975,1.38744646974965e-12,0
-0.002095,1.42289412290457e-12,0
-0.0020925,1.14454146762089e-12,0
-0.00209,6.83746755745669e-13,0
-0.0020875,2.93054295314364e-13,0
-0.002085,1.69003011187387e-13,0
-0.0020825,3.14530218469178e-13,0
-0.00208,5.55286280413582e-13,0
-0.0020775,6.93214464060193e-13,0
-0.002075,6.62677293081876e-13,0
-0.0020725,5.56463812907705e-13,0
-0.00207,5.09812277272783e-13,0
-0.0020675,5.59159379475856e-13,0
-0.002065,6.10186172033595e-13,0
-0.0020625,5.4167203569336e-13,0
-0.00206,3.40532540195718e-13,0
-0.0020575,1.33436586858959e-13,0
-0.002055,7.97080891590023e-14,0
-0.0020525,2.24065194040165e-13,0
-0.00205,4.48467522348511e-13,0
-0.0020475,5.7082908646747e-13,0
-0.002045,5.01253120645836e-13,0
-0.0020425,3.13432314288815e-13,0
-0.00204,1.69177500089445e-13,0
-0.0020375,1.70374068093754e-13,0
-0.002035,2.76034712973002e-13,0
-0.0020325,3.55175973492388e-13,0
-0.00203,3.16423478746282e-13,0
-0.0020275,1.87623139176669e-13,0
-0.002025,7.49158354790028e-14,0
