y_m,intensity_norm,target
-0.00256,7.01481450552516e-13,0
-0.0025575,5.57327647233803e-13,0
-0.002555,2.53511200390731e-13,0
-0.0025525,6.6306988778444e-14,0
-0.00255,1.83266419665546e-13,0
-0.0025475,5.39607140618486e-13,0
-0.002545,8.65187594565298e-13,0
-0.0025425,9.03070408541881e-13,0
-0.00254,6.18319973713636e-13,0
-0.0025375,2.26065401762437e-13,0
-0.002535,1.89736750512393e-14,0
-0.0025325,1.37465505986001e-13,0
-0.00253,4.6712732484977e-13,0
-0.0025275,7.38577338752861e-13,0
-0.002525,7.4133901169746e-13,0
-0.0025225,4.7950224401028e-13,0
-0.00252,1.54268609710046e-13,0
-0.0025175,6.53657920587455e-16,0
-0.002515,1.13906489566551e-13,0
-0.0025125,3.94912542375279e-13,0
-0.00251,6.40453010319211e-13,0
-0.0025075,6.94485565487326e-13,0
-0.002505,5.4446411336769e-13,0
-0.0025025,3.04747454711437e-13,0
-0.0025,1.19471971360029e-13,0
-0.0024975,6.73287862208805e-14,0
-0.002495,1.31393725803725e-13,0
-0.0024925,2.37059808715799e-13,0
-0.00249,3.13351912840399e-13,0
-0.0024875,3.29669364759448e-13,0
-0.002485,2.92612327189843e-13,0
-0.0024825,2.22185850401228e-13,0
-0.00248,1.36000722802497e-13,0
-0.0024775,5.28540730655125e-14,0
-0.002475,3.487114142923e-15,0
-0.0024725,2.80797647982305e-14,0
-0.00247,1.53109334901531e-13,0
-0.0024675,3.62183541605673e-13,0
-0.002465,5.86838192355915e-13,0
-0.0024625,7.32854034866919e-13,0
-0.00246,7.31410542255266e-13,0
-0.0024575,5.82075208734627e-13,0
-0.002455,3.5540792838505e-13,0
-0.0024525,1.49756112953006e-13,0
-0.00245,3.12440989139286e-14,0
-0.0024475,4.36753791702924e-16,0
-0.002445,9.30405828399914e-15,0
-0.0024425,1.1538536392457e-14,0
-0.00244,1.54319325798014e-15,0
-0.0024375,8.22534917367934e-15,0
-0.002435,5.20848635190456e-14,0
-0.0024325,1.10608158272424e-13,0
-0.00243,1.31775346164482e-13,0
-0.0024275,8.90751070213656e-14,0
-0.002425,2.51110605254446e-14,0
-0.0024225,3.17391966430515e-14,0
-0.00242,1.69770685750412e-13,0
-0.0024175,3.94690317611705e-13,0
-0.002415,5.6483253407099e-13,0
-0.0024125,5.45421445583046e-13,0
-0.00241,3.33618230103115e-13,0
-0.0024075,9.53819734798452e-14,0
-0.002405,6.46018815310897e-14,0
