branch,z_m,centroid_x_mm,centroid_y_mm,centroid_radius_mm,power_inside_fixed_15mm,power_outside_fixed_15mm_percent,power_inside_recentered_15mm,power_outside_recentered_15mm_percent,diameter_99_percent_fixed_mm,diameter_99p9_percent_fixed_mm,diameter_99_percent_recentered_mm,diameter_99p9_percent_recentered_mm
measured_G_v2_no_blaze,0.0,0.001722926895541047,-0.008712981682078244,0.008881696171318277,0.9994223720177062,0.05776279822937713,0.999423474592257,0.05765254077430004,10.285,12.121,10.251,12.121
measured_G_v2_no_blaze,0.1,0.001512799096606774,-0.008985163973134695,0.009111626239635377,0.9994204450597929,0.05795549402071165,0.9994216784390401,0.05783215609599379,10.353,12.155,10.353,12.155
measured_G_v2_no_blaze,0.2,0.0013025965311968702,-0.009257426435946728,0.009348620322809748,0.999420038608799,0.05799613912009782,0.9994213049472235,0.05786950527765233,10.421,12.222999999999999,10.421,12.222999999999999
measured_G_v2_no_blaze,0.30000000000000004,0.0010923937808950679,-0.009529679596346036,0.00959208618505652,0.9994173534719893,0.05826465280106552,0.9994186550645296,0.05813449354703515,10.489,12.325,10.489,12.325
measured_G_v2_no_blaze,0.4,0.0008821937717699977,-0.009801930737901756,0.009841550286493132,0.9994114184731059,0.058858152689411636,0.9994124649834378,0.058753501656216844,10.557,12.427000000000001,10.557,12.427000000000001
measured_G_v2_no_blaze,0.5,0.0006719935703797293,-0.010074148557535358,0.010096536263388719,0.9994040188203641,0.05959811796358849,0.9994052780962341,0.05947219037658602,10.659,12.562999999999999,10.659,12.529
measured_G_v2_no_blaze,0.6000000000000001,0.0004619630270641244,-0.010343375391457669,0.01035368650901631,0.999394837266768,0.060516273323196756,0.9993960082000524,0.06039917999476341,10.727,12.699,10.727,12.665
measured_G_v2_no_blaze,0.7000000000000001,0.00025272713103736445,-0.010604416219336665,0.0106074273203116,0.99938286834967,0.061713165032994954,0.9993841282033846,0.06158717966153748,10.795,12.834999999999999,10.795,12.834999999999999
measured_G_v2_no_blaze,0.8,4.415901572304891e-05,-0.010860384358801397,0.010860474135118028,0.9993679235050339,0.06320764949661051,0.9993690972593567,0.06309027406432577,10.897,12.971,10.897,12.971
measured_G_v2_no_blaze,0.9,-0.00016359013431484963,-0.011113548569657386,0.011114752518260534,0.9993500044128556,0.0649995587144403,0.999351257560308,0.06487424396920405,10.965,13.141,10.965,13.141
measured_G_v2_no_blaze,1.0,-0.000371012446417841,-0.011363438599092834,0.011369493701601223,0.9993287688575244,0.06712311424755812,0.9993301443834848,0.06698556165152247,11.033,13.344999999999999,11.033,13.344999999999999
ideal_G_v2_no_blaze_reference,0.0,-2.219309806410626e-08,-2.1530484155473768e-08,3.0920791543104846e-08,0.9999764850227641,0.0023514977235850054,0.9999764850227641,0.0023514977235850054,9.877,12.087,9.877,12.087
ideal_G_v2_no_blaze_reference,0.1,-0.00020766589890138884,-6.998775271215409e-05,0.00021914244476189335,0.9999739988790268,0.002600112097317364,0.9999739971532069,0.002600284679310505,9.945,12.155,9.945,12.155
ideal_G_v2_no_blaze_reference,0.2,-0.0004153736570424831,-0.00014004805428154604,0.0004383477300875336,0.9999699038036773,0.0030096196322659807,0.999969907391543,0.003009260845698858,10.047,12.189,10.047,12.189
ideal_G_v2_no_blaze_reference,0.30000000000000004,-0.000623078078510348,-0.00021010671053602175,0.0006575493302653535,0.9999660104963264,0.0033989503673614863,0.9999660149089203,0.003398509107965797,10.115,12.257,10.115,12.257
ideal_G_v2_no_blaze_reference,0.4,-0.000830787243093322,-0.0002801628251380985,0.0008767546132618654,0.999962039378223,0.0037960621776966796,0.9999620452789401,0.003795472105994069,10.217,12.325,10.217,12.325
ideal_G_v2_no_blaze_reference,0.5,-0.00103849098472892,-0.00035021638649896677,0.001095953941886079,0.9999576331994939,0.004236680050606623,0.9999576436656433,0.004235633435667463,10.285,12.392999999999999,10.285,12.392999999999999
ideal_G_v2_no_blaze_reference,0.6000000000000001,-0.0012462017114050605,-0.0004202731559407332,0.0013151609145322428,0.9999528550490361,0.004714495096391769,0.9999528706149924,0.004712938500761599,10.353,12.461,10.353,12.461
ideal_G_v2_no_blaze_reference,0.7000000000000001,-0.0014539078436205577,-0.0004903220364684497,0.001534361012665516,0.9999466431832364,0.0053356816763550086,0.9999466661579846,0.005333384201544611,10.421,12.562999999999999,10.421,12.562999999999999
ideal_G_v2_no_blaze_reference,0.8,-0.0016616177110972672,-0.0005603855269195419,0.0017535693190213538,0.9999379520049039,0.006204799509612613,0.9999379783326809,0.006202166731905656,10.523,12.665,10.523,12.665
ideal_G_v2_no_blaze_reference,0.9,-0.0018693229554299262,-0.0006304375913051077,0.00197276959329463,0.9999252738979199,0.007472610208014707,0.9999252994615432,0.007470053845681779,10.591,12.732999999999999,10.591,12.732999999999999
ideal_G_v2_no_blaze_reference,1.0,-0.0020770259226024317,-0.0007004943940190989,0.0021919692240573697,0.9999120018309827,0.00879981690172782,0.9999120352007267,0.008796479927331013,10.659,12.834999999999999,10.659,12.834999999999999
